countryName,exchg,purpose,date1,holdID,intervalIdent,marketCap1,marketCap20,marketCapRange,propertyName,Rank,reportDate,reportingComp,significantInterval,stage,surfaceUnder,date20,within21,gainPercent,change
Australia,RRL-ASX,Exploration,2.5815,RRLPTRAC560,711492,1293.29,1377.22,>100,Duketon,164,10/14/2016,Regis Resources Limited,Yes,Target Outline,Surface,2.749,FALSE,6,increase
Australia,NST-ASX,Extension,3.4041,WSXP1982,724378,2044.8,1620.58,>100,Jundee,632,11/7/2016,Northern Star Resources Limited,No,Operating,Underground,2.6979,FALSE,-20,decrease
USA,WRR-TVX,Exploration,0.12,LC16-10,725784,7.97,5.43,<10,Sleeper-Lapon Canyon,714,11/9/2016,Walker River Resources Corp.,Yes,Target Outline,Underground,0.0818,FALSE,-31,decrease
Mexico,GNC-TVX,Exploration,0.2666,DHEC160003,705671,9.88,8.88,<10,El Colomo,475,10/4/2016,Gainey Capital Corp.,Yes,Exploration,Surface,0.2396,FALSE,-10,decrease
Tanzania,TRL-ASX,Exploration,0.0377,MRC004,727995,14.33,16.79,>10 - 100,Geita,80,11/15/2016,Tanga Resources Limited,Yes,Exploration,Surface,0.0441,FALSE,17,increase
Tanzania,TRL-ASX,Exploration,0.0348,MRC013,748665,13.26,14.1,>10 - 100,Geita,208,12/20/2016,Tanga Resources Limited,Yes,Target Outline,Surface,0.036,FALSE,3,increase
New Zealand,OGC-TSX,Extension,2.7877,UDH7543,745150,1703.35,1781.05,>100,Macraes Flat,191,12/12/2016,OceanaGold Corporation,No,Operating,Underground,2.9149,FALSE,4,increase
Portugal,MED-TVX,Exploration,0.127,MBT008,753151,9.21,11.55,<10,Boticas,44,12/21/2016,MedGold Resources Corporation,Yes,Exploration,Surface,0.159,FALSE,25,increase
Finland,AU-TVX,Exploration,0.2856,KU16003,745975,15.75,15.62,>10 - 100,Kutuvuoma,291,12/13/2016,Aurion Resources Limited,Yes,Exploration,Surface,0.2833,FALSE,0,same
Canada,SSS-TVX,Exploration,0.1377,SM_CS1-11-10-2016,727086,3.62,2.93,<10,Hawkins,613,11/10/2016,Sunvest Minerals Corp.,Yes,Reserves Development,Surface,0.1115,FALSE,-19,decrease
