Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
Lac la Hache,912240,31535,Canada,Copper,6/5/2017,Engold Mines Ltd.,4350900,Copper,G17-13,Reserves Development,Yes,Surface,Extension,"1,744.88",EGM-TVX,0.311,0.332,>10 - 100,57.97,61.9,6.80%,180,,,
Las Chispas,899052,77989,Mexico,Silver,5/11/2017,SilverCrest Metals Inc.,4677325,Silver,LC17-37,Target Outline,No,Underground,Extension,"1,130.59",SIL-TVX,1.34,1.429,>10 - 100,64.52,68.81,6.60%,182,,,
La India,904371,35834,Nicaragua,Gold,5/22/2017,Condor Gold Plc,4349418,Gold,LIDC344,Prefeas/Scoping,No,Surface,Extension,"3,038.73",CNR-AIMLSE,0.729,0.777,>10 - 100,44.76,47.7,6.60%,183,,,
Prieska,908021,26944,South Africa,Zinc,5/25/2017,Orion Minerals NL,4353093,Zinc,OCOD043,Target Outline,Yes,Surface,Extension,"1,803.30",ORN-ASX,0.017,0.018,>10 - 100,13.6,16.78,6.60%,184,,,
Kantienpan,907129,77900,South Africa,Zinc,5/25/2017,Orion Minerals NL,4353093,Zinc,OKND018B,Target Outline,No,Surface,Extension,140.002,ORN-ASX,0.017,0.018,>10 - 100,13.6,16.78,6.60%,184,,,
El Mochito,938842,26495,Honduras,Zinc,6/26/2017,Ascendant Resources Inc.,4363347,Zinc,10833,Operating,No,Underground,Infill,"7,318.99",ASND-TSX,0.498,0.529,>10 - 100,35.71,37.93,6.20%,189,,,
Stavely,881583,36240,Australia,Copper,4/18/2017,Stavely Minerals Limited,4550733,Gold,SMD011,Prefeas/Scoping,Yes,Surface,Exploration,"1,777.05",SVY-ASX,0.083,0.089,>10 - 100,10.11,10.74,6.20%,190,,,
Bougouni,903112,78022,Mali,Lithium,5/19/2017,Kodal Minerals Plc,4533605,Lithium,KLRC028,Target Outline,Yes,Surface,Extension,"7,097.00",KOD-AIMLSE,0.004,0.004,>10 - 100,23.08,24.51,6.20%,191,,,
Bombore,879048,28974,Burkina Faso,Gold,4/12/2017,Orezone Gold Corporation,4353085,Gold,TYD0061,Construction Planned,Yes,Surface,Extension,"1,871.07",ORE-TVX,0.412,0.437,>10 - 100,63.47,67.32,6.10%,192,,,
Tennant Creek Mineral Field,901736,36235,Australia,Copper,5/17/2017,Emmerson Resources Limited,4349948,Gold,BSRC017,Reserves Development,No,Surface,Metallurgical,"1,418.67",ERM-ASX,0.062,0.065,>10 - 100,23.41,24.85,6.00%,193,,,
Barsele,923642,28075,Sweden,Gold,6/21/2017,Barsele Minerals Corp.,4428746,Gold,CNT17006,Reserves Development,Yes,Surface,Extension,"3,750.55",BME-TVX,0.49,0.519,>10 - 100,52.99,56.2,5.90%,196,,,
Koppio-Kookaburra Gully,904299,65908,Australia,Graphite,5/22/2017,Lincoln Minerals Limited,4351832,Graphite,KK066,Reserves Development,Yes,Surface,Extension,"7,131.25",LML-ASX,0.032,0.034,>10 - 100,14.74,15.6,5.90%,197,,,
Dalgaranga,920372,29405,Australia,Gold,6/21/2017,Gascoyne Resources Limited,4350345,Gold,DGRC288,Construction Planned,No,Surface,Infill,"1,396.24",GCY-ASX,0.315,0.312,>100,118.74,117.7,-0.90%,351,,,
Productora,888936,31044,Chile,Copper,4/27/2017,Hot Chili Limited,4351094,Copper,PRP0930,Prefeas/Scoping,Yes,Surface,Extension,"2,322.75",HCH-ASX,0.023,0.025,>10 - 100,12.58,13.31,5.80%,199,,,
Rio Grande,906163,40801,Brazil,Phosphate,5/25/2017,Aguia Resources Limited,4347846,Phosphate,TED-17-128,Feasibility Started,No,Surface,Infill,322.39,AGR-ASX,0.317,0.335,>10 - 100,28.81,30.46,5.70%,200,,,
Sepeda,894860,77640,Portugal,Lithium,5/3/2017,Novo Lítio Ltd.,4353119,Lithium,SC066,Prefeas/Scoping,Yes,Surface,Extension,"9,518.08",NLI-ASX,0.038,0.04,>10 - 100,14.2,14.99,5.50%,201,,,
Bergby,918519,78580,Sweden,Lithium,6/19/2017,Leading Edge Materials Corporation,4359591,Lithium,BBY17016,Target Outline,Yes,Surface,Extension,"2,428.02",LEM-TVX,0.597,0.628,>10 - 100,52.39,55.37,5.30%,202,,,
O'Brien,898693,26534,Canada,Gold,5/9/2017,Radisson Mining Resources Inc.,4353620,Gold,OB-17-25,Prefeas/Scoping,Yes,Surface,Extension,"3,934.83",RDS-TVX,0.113,0.119,>10 - 100,12.14,12.81,5.30%,204,,,
Koppio-Kookaburra Gully,905034,65908,Australia,Graphite,5/23/2017,Lincoln Minerals Limited,4351832,Graphite,KE15,Reserves Development,Yes,Surface,Exploration,"4,891.75",LML-ASX,0.032,0.034,>10 - 100,14.82,15.6,5.30%,205,,,
Lefroy,870726,78536,Australia,Gold,4/3/2017,Lefroy Exploration Limited,4747156,Gold,LEFA047,Target Outline,No,Surface,Exploration,927.444,LEX-ASX,0.13,0.128,<10,8.36,8.24,-1.40%,364,,,
