Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Hole ID ,Reported Date (mm/dd/yyyy),Primary Interval Commodity ,Reporting Company ,Reporting Company ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,within 21 d?,Rank,Relevant asterisk/ footnote,New Rank,Notes
Madsen,848871,28195,Canada,Gold,PG17-304,2/28/2017,Gold,Pure Gold Mining Inc.,4351773,Prefeas/Scoping,Yes,Underground,Extension,PGM-TVX,0.46,0.38,>10 - 100,87.15,73.13,-16.65%,FALSE,653,,,
Thalanga,839105,25699,Australia,Zinc,LTED05W1,2/17/2017,Zinc,Red River Resources Limited,4353695,Preproduction,No,Surface,Extension,RVR-ASX,0.21,0.17,>10 - 100,98,81.58,-16.77%,FALSE,654,,,
La Plata,850296,25748,Ecuador,Gold,CMLP-17-38,3/1/2017,Copper,Toachi Mining Inc.,4350179,Prefeas/Scoping,Yes,Surface,Extension,TIM-TVX,0.42,0.35,>10 - 100,21.61,18.22,-16.79%,FALSE,655,,,
Macusani Plateau,860890,36002,Peru,U3O8,PT-PCH1-TNE,3/20/2017,U3O8,Plateau Uranium Inc.,4351967,Prefeas/Scoping,No,Surface,Extension,PLU-TVX,0.49,0.4,>10 - 100,28.06,23.4,-17.08%,FALSE,664,,,
Unga,799967,24892,USA,Gold,16SH022,1/19/2017,Gold,Redstar Gold Corporation,4353705,Reserves Development,No,Surface,Extension,RGC-TVX,0.11,0.09,>10 - 100,34.05,28.19,-17.20%,FALSE,665,,,
Plomosas,813226,70812,Mexico,Zinc,LV8006,2/9/2017,Zinc,Consolidated Zinc Limited,4352784,Reserves Development,Yes,Underground,Extension,CZL-ASX,0.02,0.02,>10 - 100,10.24,8.48,-17.21%,FALSE,666,,,
Eastmain (West Block),799586,55284,Canada,Chromite,AE_CS1_01.19.2017,1/19/2017,Chromite,Azimut Exploration Inc.,4348377,Grassroots,No,Surface,Exploration,AZM-TVX,0.29,0.24,>10 - 100,13.38,11.05,-17.41%,FALSE,669,,,
Rice Island,851438,76615,Canada,Nickel,RI-17-30,3/6/2017,Nickel,Wolfden Resources Corporation,4355418,Target Outline,Yes,Surface,Extension,WLF-TVX,0.13,0.1,>10 - 100,10.28,8.49,-17.44%,FALSE,670,,,
Christie Lake,834974,76929,Canada,U3O8,CB-109,2/14/2017,U3O8,UEX Corporation,4355053,Target Outline,Yes,Surface,Extension,UEX-TSX,0.29,0.24,>10 - 100,87.28,77.43,-17.60%,FALSE,672,,,
Central Malawi,844543,66031,Malawi,Graphite,MGAC0055,2/21/2017,Graphite,Sovereign Metals Limited,4354479,Prefeas/Scoping,Yes,Surface,Extension,SVM-ASX,0.07,0.06,>10 - 100,15.02,12.36,-17.75%,FALSE,674,,,
Kalana,825095,26794,Mali,Gold,KO-SOM-RC216,2/13/2017,Gold,Avnel Gold Mining Limited,4348365,Limited Production,No,In Pit,Infill,AVK-TSX,0.24,0.2,>10 - 100,90.39,74.15,-17.97%,FALSE,676,,,
