propertyName,intervalIdent,countryName,holeID,reportDate,reportingComp,stage,significantInterval,surfaceUnder,purpose,exchg,date1,date20,marketCapRange,marketCap1,marketCap20,within21,Rank,gainPercent,change
Castle Mountain,705282,USA,CMM-111,10/4/2016,NewCastle Gold Ltd.,Feasibility Started,Yes,In Pit,Extension,NCA-TSX,0.7616,0.7489,>100,122.17,120.13,FALSE,313,-1,decrease
Castle Mountain,741400,USA,CMM-119,12/6/2016,NewCastle Gold Ltd.,Feasibility Started,Yes,In Pit,Extension,NCA-TSX,0.5433,0.503,>10 - 100,99.77,92.37,FALSE,431,-7,decrease
Wiluna,726046,Australia,WURD0005,11/9/2016,Blackham Resources Limited,Satellite,Yes,In Pit,Extension,BLK-ASX,0.5324,0.3771,>100,151.69,107.78,FALSE,700,-29,decrease
Tanami,749027,Australia,HRAC0090,12/19/2016,Ramelius Resources Limited,Target Outline,No,Surface,Exploration,RMS-ASX,0.3386,0.4538,>100,177.84,238.38,FALSE,25,34,increase
Karlawinda,751357,Australia,KBRC603,12/20/2016,Capricorn Metals Ltd,Feasibility Started,No,Surface,Infill,CMM-ASX,0.066,0.0845,>10 - 100,20.82,41.13,FALSE,37,27,increase
Wiluna,742892,Australia,WURC0127,12/7/2016,Blackham Resources Limited,Satellite,Yes,In Pit,Extension,BLK-ASX,0.3766,0.3086,>100,107.64,88.19,FALSE,606,-18,decrease
Dawson Creek,716040,USA,WG-16-35,10/18/2016,Zephyr Minerals Limited,Prefeas/Scoping,Yes,Underground,Extension,ZFR-TVX,0.2586,0.2388,<10,8.64,7.97,FALSE,437,-7,decrease
Ity,710710,Cote d'Ivoire,CS16-085,10/13/2016,Endeavour Mining Corporation,Operating,Yes,Surface,Extension,EDV-TSX,16.4984,18.7845,>100,1539.04,1753.57,FALSE,92,13,increase
Waihi,745111,New Zealand,807ER0999,12/12/2016,OceanaGold Corporation,Operating,Yes,Underground,Extension,OGC-TSX,2.7877,2.9149,>100,1703.35,1781.05,FALSE,191,4,increase
La Plata,719479,Ecuador,CMLP-16-03,10/26/2016,Toachi Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TIM-TVX,0.3071,0.2746,>10 - 100,11.78,11.24,FALSE,480,-10,decrease
Kiena,728734,Canada,6131A,11/15/2016,Wesdome Gold Mines Limited,Operating,Yes,Underground,Extension,WDO-TSX,1.7752,1.8639,>100,231.04,242.58,FALSE,185,5,increase
Ladner,730450,Canada,CM-004,11/17/2016,New Carolin Gold Corporation,Reserves Development,Yes,Surface,Extension,LAD-TVX,0.0521,0.0491,<10,8.46,7.96,FALSE,395,-5,decrease
Ladner,747959,Canada,CM-009,12/15/2016,New Carolin Gold Corporation,Reserves Development,Yes,Surface,Extension,LAD-TVX,0.0496,0.0451,<10,8.05,7.61,FALSE,455,-9,decrease
Wawa,705255,Canada,U1509L5,10/4/2016,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Exploration,RPX-TVX,0.1066,0.1161,>10 - 100,10.96,11.93,FALSE,141,8,increase
Wawa,732546,Canada,U1652L5,11/22/2016,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Definition,RPX-TVX,0.0746,0.0876,<10,7.87,9.23,FALSE,79,17,increase
Bachelor Lake,705887,Canada,14-140,10/6/2016,Metanor Resources Inc.,Operating,Yes,Underground,Definition,MTO-TVX,0.5305,0.5997,>10 - 100,23.14,26.16,FALSE,102,13,increase
Bachelor Lake,728832,Canada,10-103,11/16/2016,Metanor Resources Inc.,Operating,Yes,Underground,Exploration,MTO-TVX,0.4453,0.4139,>10 - 100,19.42,18.16,FALSE,423,-7,decrease
Orenada,726983,Canada,OAX-16-079,11/10/2016,Alexandria Minerals Corporation,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.0446,0.0334,>10 - 100,37.17,29.67,FALSE,668,-25,decrease
Orenada,743432,Canada,OAX-16-076,12/7/2016,Alexandria Minerals Corporation,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.0376,0.0444,>10 - 100,13.03,19.32,FALSE,77,17,increase
